"TICKER"|"METRIC"|"VALUE"
"SNPS"|"PAY.RETIRE.QUAL"|"84"
"FFIV"|"PAY.RETIRE.QUAL"|"83"
"COO"|"PAY.RETIRE.QUAL"|"77"
"WWAV"|"PAY.RETIRE.QUAL"|"70"
"SEIC"|"PAY.RETIRE.QUAL"|"79"
"IHS"|"PAY.RETIRE.QUAL"|"80"
"Q"|"PAY.RETIRE.QUAL"|"81"
"ATO"|"PAY.RETIRE.QUAL"|"76"
"ALLY"|"PAY.RETIRE.QUAL"|"79"
"ANSS"|"PAY.RETIRE.QUAL"|"83"
"TIF"|"PAY.RETIRE.QUAL"|"70"
"LNG"|"PAY.RETIRE.QUAL"|"84"
"SABR"|"PAY.RETIRE.QUAL"|"82"
"PVH"|"PAY.RETIRE.QUAL"|"69"
"BR"|"PAY.RETIRE.QUAL"|"81"
"ALK"|"PAY.RETIRE.QUAL"|"81"
"RL"|"PAY.RETIRE.QUAL"|"59"
"HBAN"|"PAY.RETIRE.QUAL"|"72"
"TFX"|"PAY.RETIRE.QUAL"|"76"
"GPS"|"PAY.RETIRE.QUAL"|"64"
"UGI"|"PAY.RETIRE.QUAL"|"73"
"SPLK"|"PAY.RETIRE.QUAL"|"77"
"HII"|"PAY.RETIRE.QUAL"|"70.5"
"WYN"|"PAY.RETIRE.QUAL"|"70"
"CMA"|"PAY.RETIRE.QUAL"|"69.77"
"FL"|"PAY.RETIRE.QUAL"|"56"
"CCK"|"PAY.RETIRE.QUAL"|"66.91"
"RE"|"PAY.RETIRE.QUAL"|"81"
"CDNS"|"PAY.RETIRE.QUAL"|"86"
"RRC"|"PAY.RETIRE.QUAL"|"84"
"AES"|"PAY.RETIRE.QUAL"|"82"
"AOS"|"PAY.RETIRE.QUAL"|"66"
"RJF"|"PAY.RETIRE.QUAL"|"69"
"NYCB"|"PAY.RETIRE.QUAL"|"61.43"
"TMK"|"PAY.RETIRE.QUAL"|"66"
"MSCI"|"PAY.RETIRE.QUAL"|"86"
"CSC"|"PAY.RETIRE.QUAL"|"73"
"UHAL"|"PAY.RETIRE.QUAL"|"52.07"
"ASH"|"PAY.RETIRE.QUAL"|"83.93"
