BA,Boeing Co/The,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
engineer,37.55,37.93,37.56,42.97,33.57,37.95,36.37,40.77,38.97,39.85,35.97,40.48,39.38,36.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11
engineering,16.62,21.92,16.69,23.99,21.32,23.63,18.70,,28.08,,20.65,23.38,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8
engineering manager,64.46,56.26,64.93,64.79,54.04,58.40,51.69,48.74,58.44,,51.18,59.69,,59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
industrial engineer,34.83,32.38,34.80,34.80,27.67,32.40,27.41,41.03,,,34.11,,29.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
intern,16.00,17.36,15.58,19.58,17.42,19.73,16.21,15.63,17.48,16.33,17.73,17.47,19.28,18.62,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12
manager,57.13,55.76,65.27,63.70,64.80,54.16,58.00,51.69,54.38,50.62,42.90,67.70,53.43,58.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11
manufacturing engineer,31.50,31.86,31.41,35.21,31.50,31.04,30.30,32.36,33.98,32.60,29.49,,29.60,36.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10
mechanical engineering,35.83,29.78,36.49,33.66,23.41,,18.11,37.10,,23.30,31.87,,32.11,,36.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8
program manager,55.80,53.45,62.85,60.97,59.31,53.59,60.01,50.57,55.10,55.47,42.75,56.26,54.50,60.94,37.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12
project manager,48.09,42.70,52.30,48.52,42.33,39.53,41.64,46.89,45.76,42.68,30.79,46.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
software engineer < 3 years,26.70,30.09,31.68,33.81,29.82,30.94,27.68,32.82,28.64,28.25,29.73,36.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
software engineer h1b,48.28,42.21,48.57,46.07,48.67,,,44.12,,,30.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
systems engineer,46.29,39.74,52.91,45.73,37.95,38.85,38.69,38.25,38.38,42.84,35.13,42.67,37.48,40.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11
SCORE,62.1,82/132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HON,Honeywell International Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Boeing Co/The,Northrop Grumman Corp,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
administrative assistant,19.15,18.98,21.82,22.07,19.54,,19.33,,17.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
business analyst,37.31,32.56,39.85,36.76,34.88,28.48,29.79,,32.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
design engineer,35.45,35.75,39.97,40.18,35.76,34.94,34.82,,41.67,30.13,,,35.38,39.58,34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9
electrical engineer,37.97,35.73,39.74,39.52,36.20,37.02,34.90,35.63,35.82,31.53,40.79,,32.26,35.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10
electronics technician,21.63,24.83,23.05,27.13,,,25.69,26.93,25.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
engineer,40.77,37.93,44.78,42.97,33.57,37.95,36.37,38.97,39.85,35.97,40.48,37.55,39.38,36.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11
engineering manager,48.74,56.26,55.80,64.79,54.04,58.40,51.69,58.44,,51.18,59.69,64.46,,59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
finance manager,52.81,49.48,56.28,56.96,,49.52,,46.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
financial analyst,30.07,28.69,33.54,32.81,27.96,28.83,27.58,27.08,31.17,28.42,,,28.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8
industrial engineer,41.03,32.38,46.57,34.80,27.67,32.40,27.41,,,34.11,,34.83,29.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
intern,15.63,17.36,17.94,19.58,17.42,19.73,16.21,17.48,16.33,17.73,17.47,16.00,19.28,18.62,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12
it manager,56.79,53.46,65.11,62.87,,59.78,44.62,52.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
it project manager,45.73,43.07,52.95,49.11,,38.82,44.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
manager,51.69,55.76,58.74,63.70,64.80,54.16,58.00,54.38,50.62,42.90,67.70,57.13,53.43,58.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11
manufacturing engineer,32.36,31.86,35.73,35.21,31.50,31.04,30.30,33.98,32.60,29.49,,31.50,29.60,36.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10
materials engineer,32.85,36.13,38.03,44.23,36.57,36.92,,,,38.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
mechanical engineer,36.31,34.76,39.78,39.98,34.57,36.08,32.04,34.85,32.66,31.74,38.23,,35.85,35.65,34.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11
mechanical engineering,37.10,29.78,45.03,33.66,23.41,,18.11,,23.30,31.87,,35.83,32.11,,36.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
operations manager,50.91,47.42,55.81,52.49,40.18,51.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
process engineer,40.25,39.89,40.82,42.60,42.08,37.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
product manager,47.15,46.68,53.61,51.76,,45.08,,,,47.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
program manager,50.57,53.45,55.34,60.97,59.31,53.59,60.01,55.10,55.47,42.75,56.26,55.80,54.50,60.94,37.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12
project engineer,39.81,42.57,42.59,48.16,39.74,48.29,,,49.42,34.74,,,44.40,,41.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
project manager,46.89,42.70,50.50,48.52,42.33,39.53,41.64,45.76,42.68,30.79,46.57,48.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9
quality engineer,37.29,37.15,40.49,41.25,37.78,31.00,37.82,43.38,39.72,33.00,,,,37.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8
software engineer 3 - 5 years,33.63,34.68,35.21,38.53,33.87,34.21,32.43,34.65,37.07,,36.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7
software engineer 5 - 10 years,39.58,39.78,43.58,45.27,39.70,40.78,38.44,40.25,43.53,36.60,39.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8
software engineer < 3 years,32.82,30.09,36.52,33.81,29.82,30.94,27.68,28.64,28.25,29.73,36.24,26.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9
software engineer > 10 years,47.60,49.59,53.36,56.30,50.55,50.21,46.82,48.26,53.04,,50.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7
software engineer h1b,44.12,42.21,49.17,46.07,48.67,,,,,30.00,40.00,48.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
systems engineer,38.25,39.74,42.52,45.73,37.95,38.85,38.69,38.38,42.84,35.13,42.67,46.29,37.48,40.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11
test engineer,34.82,34.03,39.56,40.56,31.55,36.71,29.91,36.88,34.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6
SCORE,60.2,139/231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLL,L-3 Communications Holdings Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Boeing Co/The,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
administrative assistant,17.90,18.98,19.56,22.07,19.54,,19.33,19.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
aircraft mechanic,28.77,24.57,27.77,25.78,24.16,21.80,21.93,,,,,24.44,26.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
business analyst,32.33,32.56,36.67,36.76,34.88,28.48,29.79,37.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5
business development manager,47.91,55.06,55.95,66.80,,,60.07,,57.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
design engineer,41.67,35.75,41.73,40.18,35.76,34.94,34.82,35.45,,30.13,,,35.38,39.58,34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
electrical engineer,35.82,35.73,38.61,39.52,36.20,37.02,34.90,37.97,35.63,31.53,40.79,,32.26,35.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10
electronics technician,25.06,24.83,26.36,27.13,,,25.69,21.63,26.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
engineer,39.85,37.93,44.08,42.97,33.57,37.95,36.37,40.77,38.97,35.97,40.48,37.55,39.38,36.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11
field engineer,35.00,30.78,37.53,35.71,25.91,,31.89,,30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
financial analyst,31.17,28.69,33.07,32.81,27.96,28.83,27.58,30.07,27.08,28.42,,,28.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
intern,16.33,17.36,18.92,19.58,17.42,19.73,16.21,15.63,17.48,17.73,17.47,16.00,19.28,18.62,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
manager,50.62,55.76,57.53,63.70,64.80,54.16,58.00,51.69,54.38,42.90,67.70,57.13,53.43,58.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11
manufacturing engineer,32.60,31.86,34.02,35.21,31.50,31.04,30.30,32.36,33.98,29.49,,31.50,29.60,36.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10
mechanical engineer,32.66,34.76,35.97,39.98,34.57,36.08,32.04,36.31,34.85,31.74,38.23,,35.85,35.65,34.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11
mechanical engineering,23.30,29.78,23.49,33.66,23.41,,18.11,37.10,,31.87,,35.83,32.11,,36.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8
network engineer,41.27,39.80,45.93,44.82,39.07,40.85,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
program manager,55.47,53.45,62.85,60.97,59.31,53.59,60.01,50.57,55.10,42.75,56.26,55.80,54.50,60.94,37.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12
project engineer,49.42,42.57,54.17,48.16,39.74,48.29,,39.81,,34.74,,,44.40,,41.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
project manager,42.68,42.70,45.84,48.52,42.33,39.53,41.64,46.89,45.76,30.79,46.57,48.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9
quality engineer,39.72,37.15,41.62,41.25,37.78,31.00,37.82,37.29,43.38,33.00,,,,37.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8
software engineer 3 - 5 years,37.07,34.68,39.15,38.53,33.87,34.21,32.43,33.63,34.65,,36.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
software engineer 5 - 10 years,43.53,39.78,47.47,45.27,39.70,40.78,38.44,39.58,40.25,36.60,39.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
software engineer < 3 years,28.25,30.09,30.60,33.81,29.82,30.94,27.68,32.82,28.64,29.73,36.24,26.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9
software engineer > 10 years,53.04,49.59,57.23,56.30,50.55,50.21,46.82,47.60,48.26,,50.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
systems engineer,42.84,39.74,46.76,45.73,37.95,38.85,38.69,38.25,38.38,35.13,42.67,46.29,37.48,40.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11
test engineer,34.29,34.03,36.01,40.56,31.55,36.71,29.91,34.82,36.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6
SCORE,66.7,136/204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMT,Lockheed Martin Corp,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Boeing Co/The,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
administrative assistant,19.54,18.98,21.26,22.07,,19.33,19.15,,17.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
aerospace engineer,41.09,40.88,43.46,46.59,38.52,30.85,,,,,,53.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
aircraft mechanic,24.16,24.57,26.05,25.78,21.80,21.93,,,28.77,,,24.44,26.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6
analyst,34.88,30.37,43.09,36.80,28.45,30.67,,27.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
business analyst,34.88,32.56,38.58,36.76,28.48,29.79,37.31,,32.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
contract administrator,31.00,31.06,33.20,35.81,28.12,31.35,,33.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
design engineer,35.76,35.75,42.63,40.18,34.94,34.82,35.45,,41.67,30.13,,,35.38,39.58,34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9
electrical engineer,36.20,35.73,39.12,39.52,37.02,34.90,37.97,35.63,35.82,31.53,40.79,,32.26,35.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10
electronics engineer,34.24,37.44,41.07,42.03,,37.20,,,,,40.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
engineer,33.57,37.93,39.87,42.97,37.95,36.37,40.77,38.97,39.85,35.97,40.48,37.55,39.38,36.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11
engineering,21.32,21.92,24.53,23.99,23.63,18.70,,28.08,,20.65,23.38,16.62,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8
engineering manager,54.04,56.26,61.96,64.79,58.40,51.69,48.74,58.44,,51.18,59.69,64.46,,59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9
field engineer,25.91,30.78,30.23,35.71,,31.89,,30.33,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
financial analyst,27.96,28.69,33.59,32.81,28.83,27.58,30.07,27.08,31.17,28.42,,,28.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8
industrial engineer,27.67,32.38,28.87,34.80,32.40,27.41,41.03,,,34.11,,34.83,29.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7
intern,17.42,17.36,20.27,19.58,19.73,16.21,15.63,17.48,16.33,17.73,17.47,16.00,19.28,18.62,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12
manager,64.80,55.76,76.28,63.70,54.16,58.00,51.69,54.38,50.62,42.90,67.70,57.13,53.43,58.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11
manufacturing engineer,31.50,31.86,34.45,35.21,31.04,30.30,32.36,33.98,32.60,29.49,,31.50,29.60,36.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10
materials engineer,36.57,36.13,44.10,44.23,36.92,,32.85,,,38.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
mechanical engineer,34.57,34.76,41.28,39.98,36.08,32.04,36.31,34.85,32.66,31.74,38.23,,35.85,35.65,34.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11
mechanical engineering,23.41,29.78,28.04,33.66,,18.11,37.10,,23.30,31.87,,35.83,32.11,,36.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8
network engineer,39.07,39.80,44.74,44.82,40.85,38.00,,,41.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
operations manager,40.18,47.42,45.34,52.49,51.18,,50.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
process analyst,34.30,32.86,44.67,39.70,31.18,33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
process engineer,42.08,39.89,42.96,42.60,37.35,,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
program analyst,24.82,25.90,30.13,31.81,,27.07,,25.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
